Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
10/30/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",327,202,529,304,205,450,400,257,623,339,230,499,325,195,542,226,146,349
10/31/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",339,193,596,483,314,743,401,221,727,380,218,664,275,172,441,230,135,392
11/1/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",305,187,499,308,205,462,441,266,732,293,191,448,290,183,460,243,146,403
11/2/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",308,178,530,314,177,557,403,224,725,356,199,635,278,171,450,225,146,347
11/3/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",264,164,425,229,139,377,273,157,476,295,188,462,277,178,430,224,144,349
11/4/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",266,161,440,243,162,365,320,187,549,300,178,503,251,159,398,233,145,372
11/5/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",343,204,579,326,222,480,475,291,775,320,207,496,322,190,545,235,148,373
11/6/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",436,226,842,419,256,683,754,411,1381,492,264,915,312,197,493,213,132,343
11/7/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",346,204,584,377,255,558,439,251,766,366,206,649,313,199,493,241,155,375
11/8/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",321,195,528,352,228,542,393,240,644,338,225,509,299,176,507,236,158,353
11/9/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",326,180,588,298,194,458,429,246,749,332,190,581,319,179,569,221,122,401
11/10/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",285,178,455,287,181,456,317,213,473,327,223,479,272,170,437,251,152,414
11/11/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",258,161,413,234,147,374,282,183,432,266,165,428,267,172,412,237,145,388
11/12/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",246,157,383,217,154,306,293,186,460,238,153,369,245,162,372,223,136,366
11/13/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",339,189,607,314,192,516,605,265,1379,374,225,620,271,174,422,242,150,388
11/14/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",349,207,587,338,233,489,528,303,922,338,210,545,305,188,496,240,162,356
11/15/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",359,202,637,328,181,595,468,260,842,309,189,506,380,215,671,242,152,385
11/16/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",314,188,523,346,220,545,378,223,639,317,191,524,286,180,455,309,169,566
11/17/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",276,163,467,289,174,481,322,182,568,311,174,557,261,163,419,239,146,392
11/18/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",247,149,411,203,129,320,300,189,475,252,147,431,255,163,400,219,132,364
11/19/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",344,203,582,347,200,600,470,300,737,372,226,613,294,186,465,227,140,368
11/20/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",354,196,638,334,232,481,564,294,1082,370,207,662,281,172,458,252,150,420
11/21/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",255,146,444,267,183,391,261,168,405,293,140,613,234,149,369,213,130,349
11/22/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",226,138,370,242,134,436,217,145,326,248,148,414,215,143,323,216,121,386
